"sex","length","diameter","height","whole_wt","shucked_wt","rings","age"
"F",0.53,0.435,0.17,0.8155,0.2985,13,14.5
"F",0.44,0.34,0.14,0.482,0.186,9,10.5
"F",0.525,0.415,0.17,0.8325,0.2755,13,14.5
"F",0.49,0.365,0.145,0.6345,0.1995,10,11.5
"F",0.415,0.325,0.105,0.38,0.1595,12,13.5
"F",0.485,0.395,0.16,0.66,0.2475,14,15.5
"F",0.415,0.305,0.13,0.32,0.1305,8,9.5
"F",0.445,0.325,0.125,0.455,0.1785,9,10.5
"F",0.47,0.35,0.145,0.5175,0.187,11,12.5
"F",0.49,0.375,0.15,0.5755,0.22,9,10.5
"F",0.445,0.355,0.15,0.485,0.181,11,12.5
"F",0.5,0.37,0.135,0.45,0.1715,9,10.5
"F",0.39,0.29,0.125,0.3055,0.121,7,8.5
"F",0.58,0.465,0.165,1.1015,0.404,11,12.5
"F",0.53,0.415,0.16,0.783,0.2935,15,16.5
"F",0.595,0.455,0.155,1.0605,0.5135,12,13.5
"F",0.575,0.46,0.185,1.094,0.4485,15,16.5
"F",0.635,0.505,0.17,1.415,0.605,15,16.5
"F",0.59,0.475,0.16,1.1015,0.4775,13,14.5
"F",0.54,0.475,0.155,0.928,0.394,11,12.5
"F",0.57,0.44,0.125,0.865,0.3675,12,13.5
"F",0.46,0.38,0.13,0.639,0.3,11,12.5
"F",0.45,0.36,0.125,0.4995,0.2035,13,14.5
"F",0.64,0.525,0.215,1.779,0.4535,22,23.5
"F",0.66,0.53,0.185,1.3485,0.493,12,13.5
"F",0.515,0.425,0.135,0.712,0.2665,11,12.5
"F",0.535,0.415,0.185,0.8415,0.314,15,16.5
"F",0.455,0.355,0.12,0.4495,0.177,9,10.5
"F",0.535,0.415,0.17,0.879,0.295,10,11.5
"F",0.495,0.4,0.155,0.6445,0.242,17,18.5
"F",0.535,0.435,0.16,0.8105,0.3155,10,11.5
"F",0.565,0.505,0.21,1.2765,0.501,12,13.5
"F",0.565,0.455,0.175,1.013,0.342,19,20.5
"F",0.405,0.305,0.095,0.3485,0.1455,9,10.5
"F",0.54,0.435,0.175,0.892,0.322,13,14.5
"F",0.47,0.36,0.13,0.472,0.182,10,11.5
"F",0.63,0.485,0.19,1.2435,0.4635,21,22.5
"F",0.62,0.47,0.2,1.2255,0.381,23,24.5
"F",0.635,0.535,0.19,1.242,0.576,14,15.5
"F",0.58,0.455,0.155,0.8365,0.315,18,19.5
"F",0.4,0.325,0.12,0.3185,0.134,8,9.5
"F",0.74,0.6,0.195,1.974,0.598,16,17.5
"F",0.565,0.45,0.195,1.0035,0.406,15,16.5
"F",0.62,0.51,0.205,1.3475,0.4775,14,15.5
"F",0.505,0.375,0.18,0.568,0.2325,12,13.5
"F",0.46,0.425,0.155,0.746,0.3005,8,9.5
"F",0.525,0.42,0.16,0.756,0.2745,9,10.5
"F",0.61,0.495,0.185,1.153,0.536,8,9.5
"F",0.585,0.45,0.17,0.8685,0.3325,22,23.5
"F",0.645,0.525,0.19,1.8085,0.7035,18,19.5
"F",0.685,0.545,0.18,1.768,0.7495,16,17.5
"F",0.59,0.465,0.15,0.997,0.392,12,13.5
"F",0.65,0.525,0.175,1.4225,0.61,20,21.5
"F",0.6,0.48,0.15,1.029,0.4085,16,17.5
"F",0.62,0.5,0.175,1.186,0.4985,12,13.5
"F",0.58,0.455,0.12,1.0735,0.479,10,11.5
"F",0.69,0.56,0.215,1.719,0.68,17,18.5
"F",0.65,0.545,0.165,1.566,0.6645,16,17.5
"F",0.66,0.565,0.195,1.7605,0.692,16,17.5
"F",0.68,0.58,0.2,1.787,0.585,19,20.5
"F",0.7,0.575,0.17,1.31,0.5095,14,15.5
"F",0.675,0.545,0.195,1.7345,0.6845,20,21.5
"F",0.585,0.45,0.16,1.077,0.4995,10,11.5
"F",0.61,0.495,0.185,1.1085,0.3705,12,13.5
"F",0.455,0.37,0.105,0.4925,0.216,9,10.5
"F",0.47,0.375,0.125,0.5615,0.252,10,11.5
"F",0.5,0.395,0.14,0.7155,0.3165,10,11.5
"F",0.485,0.365,0.12,0.5885,0.27,9,10.5
"F",0.435,0.325,0.11,0.4335,0.178,7,8.5
"F",0.515,0.415,0.14,0.6935,0.3115,10,11.5
"F",0.525,0.44,0.15,0.8425,0.3685,12,13.5
"F",0.58,0.46,0.12,0.9935,0.4625,11,12.5
"F",0.605,0.495,0.17,1.2385,0.528,14,15.5
"F",0.62,0.47,0.14,1.0325,0.3605,15,16.5
"F",0.63,0.5,0.17,1.3135,0.5595,20,21.5
"F",0.63,0.5,0.155,1.005,0.367,16,17.5
"F",0.67,0.54,0.165,1.5015,0.518,14,15.5
"F",0.49,0.39,0.135,0.5785,0.2465,13,14.5
"F",0.61,0.485,0.165,1.0915,0.3935,18,19.5
"F",0.56,0.455,0.125,0.943,0.344,21,22.5
"F",0.575,0.45,0.17,1.0475,0.3775,18,19.5
"F",0.57,0.45,0.175,0.9555,0.38,18,19.5
"F",0.505,0.425,0.14,0.85,0.275,19,20.5
"F",0.41,0.325,0.105,0.3635,0.159,10,11.5
"F",0.56,0.455,0.19,0.714,0.283,9,10.5
"F",0.565,0.455,0.15,0.8205,0.365,18,19.5
"F",0.675,0.535,0.16,1.41,0.592,16,17.5
"F",0.665,0.555,0.195,1.4385,0.581,17,18.5
"F",0.565,0.49,0.155,0.9245,0.405,11,12.5
"F",0.645,0.55,0.175,1.2915,0.57,14,15.5
"F",0.64,0.54,0.175,1.221,0.51,15,16.5
"F",0.525,0.41,0.135,0.7085,0.293,11,12.5
"F",0.585,0.465,0.17,0.9915,0.3865,12,13.5
"F",0.67,0.55,0.19,1.3905,0.5425,12,13.5
"F",0.68,0.55,0.21,1.7445,0.5975,17,18.5
"F",0.53,0.44,0.135,0.7835,0.313,9,10.5
"F",0.515,0.405,0.12,0.646,0.2895,10,11.5
"F",0.52,0.405,0.12,0.627,0.2645,11,12.5
"F",0.545,0.415,0.16,0.7715,0.272,10,11.5
"F",0.465,0.35,0.115,0.421,0.1565,9,10.5
"F",0.7,0.585,0.185,1.8075,0.7055,29,30.5
"F",0.58,0.46,0.15,0.9955,0.429,19,20.5
"F",0.585,0.465,0.14,0.908,0.381,13,14.5
"F",0.625,0.515,0.15,1.2415,0.5235,15,16.5
"F",0.57,0.455,0.165,1.0595,0.44,14,15.5
"F",0.655,0.51,0.155,1.2895,0.5345,11,12.5
"F",0.625,0.5,0.15,0.953,0.3445,15,16.5
"F",0.64,0.52,0.175,1.248,0.4245,12,13.5
"F",0.605,0.485,0.165,1.0105,0.435,19,20.5
"F",0.615,0.525,0.155,1.0385,0.427,11,12.5
"F",0.58,0.44,0.18,0.854,0.3665,12,13.5
"F",0.62,0.52,0.225,1.1835,0.378,23,24.5
"F",0.62,0.47,0.225,1.115,0.378,15,16.5
"F",0.6,0.505,0.19,1.129,0.4385,13,14.5
"F",0.625,0.485,0.19,1.1745,0.4385,17,18.5
"F",0.455,0.35,0.14,0.5185,0.221,10,11.5
"F",0.49,0.38,0.145,0.6725,0.249,10,11.5
"F",0.275,0.195,0.07,0.08,0.031,5,6.5
"F",0.345,0.25,0.09,0.203,0.078,6,7.5
"F",0.36,0.27,0.09,0.1885,0.0845,5,6.5
"F",0.57,0.445,0.155,0.733,0.282,14,15.5
"F",0.57,0.45,0.16,0.9715,0.3965,12,13.5
"F",0.46,0.355,0.13,0.458,0.192,13,14.5
"F",0.435,0.335,0.11,0.38,0.1695,9,10.5
"F",0.375,0.29,0.115,0.2705,0.093,10,11.5
"F",0.5,0.375,0.14,0.604,0.242,15,16.5
"F",0.44,0.355,0.115,0.415,0.1585,11,12.5
"F",0.38,0.29,0.105,0.257,0.099,10,11.5
"F",0.565,0.45,0.16,0.795,0.3605,12,13.5
"F",0.66,0.5,0.165,1.1905,0.4585,12,13.5
"F",0.66,0.53,0.17,1.326,0.519,13,14.5
"F",0.44,0.34,0.105,0.364,0.148,8,9.5
"F",0.475,0.35,0.115,0.452,0.1715,11,12.5
"F",0.545,0.415,0.15,0.7335,0.2795,11,12.5
"F",0.47,0.355,0.13,0.5465,0.2005,14,15.5
"F",0.41,0.32,0.115,0.387,0.165,11,12.5
"F",0.59,0.455,0.155,1.066,0.382,20,21.5
"F",0.57,0.44,0.14,0.9535,0.3785,17,18.5
"F",0.61,0.475,0.14,1.133,0.5275,11,12.5
"F",0.585,0.435,0.175,0.982,0.4055,10,11.5
"F",0.63,0.48,0.175,1.3675,0.5015,17,18.5
"F",0.625,0.49,0.175,1.233,0.5565,11,12.5
"F",0.645,0.525,0.19,1.4635,0.6615,19,20.5
"F",0.41,0.305,0.1,0.363,0.1735,11,12.5
"F",0.55,0.41,0.145,0.8285,0.3095,13,14.5
"F",0.405,0.31,0.12,0.3095,0.138,13,14.5
"F",0.37,0.29,0.115,0.25,0.111,9,10.5
"F",0.66,0.52,0.18,1.514,0.526,19,20.5
"F",0.55,0.43,0.14,0.7135,0.2565,9,10.5
"F",0.56,0.445,0.195,0.981,0.305,16,17.5
"F",0.385,0.315,0.11,0.286,0.1225,10,11.5
"F",0.39,0.3,0.1,0.265,0.1075,13,14.5
"F",0.44,0.345,0.17,0.4085,0.15,12,13.5
"F",0.47,0.355,0.14,0.433,0.1525,12,13.5
"F",0.5,0.385,0.115,0.6785,0.2945,12,13.5
"F",0.5,0.385,0.105,0.498,0.1795,17,18.5
"F",0.525,0.405,0.16,0.658,0.2655,12,13.5
"F",0.425,0.335,0.095,0.322,0.1205,10,11.5
"F",0.38,0.305,0.095,0.2815,0.1255,8,9.5
"F",0.43,0.34,0.12,0.391,0.1555,7,8.5
"F",0.51,0.4,0.13,0.5735,0.219,13,14.5
"F",0.59,0.45,0.16,0.9,0.358,19,20.5
"F",0.475,0.36,0.125,0.447,0.1695,9,10.5
"F",0.37,0.28,0.11,0.2305,0.0945,10,11.5
"F",0.555,0.435,0.165,0.97,0.336,17,18.5
"F",0.615,0.515,0.17,1.14,0.4305,16,17.5
"F",0.585,0.475,0.185,0.9585,0.4145,11,12.5
"F",0.415,0.34,0.13,0.3675,0.146,10,11.5
"F",0.38,0.305,0.105,0.281,0.1045,12,13.5
"F",0.395,0.295,0.095,0.2245,0.078,10,11.5
"F",0.485,0.38,0.15,0.605,0.2155,15,16.5
"F",0.45,0.35,0.145,0.5425,0.1765,13,14.5
"F",0.5,0.38,0.155,0.655,0.2405,17,18.5
"F",0.53,0.41,0.165,0.8115,0.24,19,20.5
"F",0.49,0.385,0.15,0.7865,0.241,23,24.5
"F",0.52,0.395,0.18,0.64,0.158,22,23.5
"F",0.5,0.375,0.115,0.5945,0.185,11,12.5
"F",0.45,0.38,0.165,0.8165,0.25,23,24.5
"F",0.37,0.275,0.1,0.2225,0.093,8,9.5
"F",0.435,0.325,0.115,0.3915,0.154,7,8.5
"F",0.535,0.4,0.15,0.8045,0.3345,13,14.5
"F",0.535,0.405,0.125,0.927,0.26,16,17.5
"F",0.43,0.325,0.115,0.3865,0.1475,11,12.5
"F",0.43,0.335,0.12,0.444,0.155,13,14.5
"F",0.395,0.315,0.105,0.3515,0.1185,16,17.5
"F",0.48,0.385,0.135,0.536,0.1895,14,15.5
"F",0.445,0.33,0.105,0.4525,0.18,9,10.5
"F",0.345,0.26,0.09,0.207,0.0775,10,11.5
"F",0.49,0.36,0.11,0.5005,0.161,17,18.5
"F",0.48,0.375,0.105,0.525,0.2185,12,13.5
"F",0.52,0.4,0.12,0.6515,0.261,15,16.5
"F",0.52,0.405,0.125,0.6435,0.2415,12,13.5
"F",0.36,0.265,0.09,0.2065,0.078,8,9.5
"F",0.535,0.42,0.15,0.7365,0.2785,14,15.5
"F",0.52,0.405,0.14,0.8175,0.2795,17,18.5
"F",0.53,0.42,0.13,1.001,0.34,17,18.5
"F",0.66,0.52,0.2,1.676,0.673,17,18.5
"F",0.51,0.39,0.105,0.612,0.187,13,14.5
"F",0.605,0.46,0.17,1.122,0.347,13,14.5
"F",0.58,0.455,0.165,1.1365,0.369,13,14.5
"F",0.605,0.495,0.19,1.437,0.469,15,16.5
"F",0.55,0.44,0.155,0.946,0.313,16,17.5
"F",0.54,0.44,0.135,0.959,0.2385,17,18.5
"F",0.61,0.47,0.145,1.153,0.403,14,15.5
"F",0.59,0.445,0.13,1.1325,0.3825,13,14.5
"F",0.55,0.43,0.155,0.785,0.289,11,12.5
"F",0.53,0.425,0.17,0.949,0.3485,17,18.5
"F",0.53,0.455,0.165,0.9805,0.3155,11,12.5
"F",0.47,0.36,0.145,0.537,0.1725,15,16.5
"F",0.515,0.39,0.13,0.5755,0.1975,9,10.5
"F",0.505,0.39,0.16,0.644,0.2475,9,10.5
"F",0.6,0.465,0.165,0.8875,0.309,12,13.5
"F",0.57,0.465,0.16,0.8935,0.3145,10,11.5
"F",0.485,0.375,0.135,0.556,0.1925,10,11.5
"F",0.425,0.345,0.11,0.3665,0.125,11,12.5
"F",0.48,0.4,0.125,0.759,0.2125,15,16.5
"F",0.44,0.34,0.13,0.4195,0.153,10,11.5
"F",0.52,0.41,0.115,0.807,0.2855,12,13.5
"F",0.49,0.365,0.13,0.6835,0.165,21,22.5
"F",0.48,0.365,0.135,0.6395,0.2945,8,9.5
"F",0.495,0.41,0.125,0.7555,0.3355,9,10.5
"F",0.54,0.42,0.14,0.805,0.369,11,12.5
"F",0.545,0.44,0.135,0.9185,0.429,10,11.5
"F",0.55,0.43,0.125,0.923,0.4035,8,9.5
"F",0.55,0.45,0.15,0.875,0.362,10,11.5
"F",0.575,0.465,0.14,0.958,0.442,9,10.5
"F",0.595,0.48,0.15,1.11,0.498,10,11.5
"F",0.595,0.48,0.16,1.2095,0.5225,8,9.5
"F",0.595,0.475,0.16,1.1405,0.547,6,7.5
"F",0.595,0.465,0.14,1.113,0.5175,12,13.5
"F",0.6,0.475,0.155,1.21,0.653,10,11.5
"F",0.605,0.475,0.175,1.382,0.609,10,11.5
"F",0.615,0.5,0.175,1.377,0.5585,12,13.5
"F",0.615,0.52,0.15,1.3435,0.629,10,11.5
"F",0.62,0.505,0.16,1.3725,0.6285,11,12.5
"F",0.625,0.49,0.155,1.2085,0.465,11,12.5
"F",0.625,0.49,0.2,1.3825,0.5895,11,12.5
"F",0.635,0.5,0.15,1.376,0.6495,10,11.5
"F",0.635,0.485,0.165,1.2945,0.668,9,10.5
"F",0.64,0.51,0.165,1.486,0.7595,8,9.5
"F",0.67,0.585,0.16,1.309,0.5445,10,11.5
"F",0.675,0.525,0.17,1.8095,0.784,12,13.5
"F",0.675,0.525,0.155,1.4785,0.628,9,10.5
"F",0.68,0.56,0.195,1.7775,0.861,11,12.5
"F",0.685,0.54,0.16,1.6675,0.833,11,12.5
"F",0.695,0.56,0.22,1.834,0.8455,11,12.5
"F",0.445,0.335,0.11,0.4355,0.2025,6,7.5
"F",0.465,0.35,0.125,0.482,0.23,6,7.5
"F",0.47,0.365,0.12,0.582,0.29,8,9.5
"F",0.475,0.36,0.12,0.5915,0.3245,6,7.5
"F",0.485,0.37,0.115,0.4785,0.1995,7,8.5
"F",0.505,0.39,0.13,0.674,0.3165,9,10.5
"F",0.515,0.43,0.14,0.834,0.367,8,9.5
"F",0.525,0.415,0.14,0.724,0.3475,8,9.5
"F",0.53,0.425,0.13,0.7585,0.325,8,9.5
"F",0.53,0.425,0.15,0.8495,0.328,8,9.5
"F",0.535,0.4,0.135,0.8215,0.3935,8,9.5
"F",0.55,0.445,0.155,0.9905,0.544,9,10.5
"F",0.55,0.43,0.14,0.8105,0.368,9,10.5
"F",0.56,0.455,0.16,0.967,0.4525,9,10.5
"F",0.565,0.4,0.13,0.6975,0.3075,8,9.5
"F",0.57,0.455,0.15,1.107,0.54,8,9.5
"F",0.575,0.46,0.16,1.103,0.538,9,10.5
"F",0.58,0.46,0.15,1.1155,0.5575,7,8.5
"F",0.58,0.46,0.18,1.0515,0.4095,8,9.5
"F",0.58,0.45,0.145,1.137,0.5585,8,9.5
"F",0.59,0.455,0.145,1.063,0.5155,8,9.5
"F",0.595,0.47,0.155,1.121,0.4515,11,12.5
"F",0.595,0.45,0.15,1.114,0.5865,11,12.5
"F",0.595,0.46,0.14,1.0045,0.4655,9,10.5
"F",0.605,0.49,0.15,1.1345,0.5265,9,10.5
"F",0.615,0.48,0.16,1.2525,0.585,8,9.5
"F",0.62,0.51,0.18,1.3315,0.594,11,12.5
"F",0.625,0.48,0.17,1.3525,0.6235,10,11.5
"F",0.625,0.475,0.175,1.1435,0.4755,10,11.5
"F",0.625,0.5,0.165,1.288,0.573,9,10.5
"F",0.625,0.485,0.2,1.38,0.5845,9,10.5
"F",0.63,0.495,0.165,1.3075,0.599,11,12.5
"F",0.64,0.5,0.17,1.5175,0.693,11,12.5
"F",0.64,0.5,0.175,1.394,0.4935,10,11.5
"F",0.645,0.5,0.155,1.2205,0.6145,10,11.5
"F",0.645,0.505,0.165,1.4325,0.684,8,9.5
"F",0.645,0.5,0.16,1.2465,0.5475,10,11.5
"F",0.645,0.515,0.15,1.212,0.515,10,11.5
"F",0.655,0.46,0.16,1.494,0.6895,9,10.5
"F",0.655,0.51,0.175,1.6525,0.8515,10,11.5
"F",0.66,0.505,0.185,1.528,0.69,11,12.5
"F",0.66,0.475,0.18,1.3695,0.641,6,7.5
"F",0.675,0.57,0.225,1.587,0.739,10,11.5
"F",0.675,0.565,0.195,1.8375,0.7645,12,13.5
"F",0.695,0.535,0.175,1.8385,0.8035,10,11.5
"F",0.705,0.535,0.18,1.685,0.693,12,13.5
"F",0.715,0.525,0.185,1.56,0.6655,11,12.5
"F",0.735,0.6,0.22,2.555,1.1335,11,12.5
"F",0.505,0.39,0.125,0.5445,0.246,7,8.5
"F",0.51,0.4,0.125,0.545,0.261,6,7.5
"F",0.52,0.46,0.15,1.019,0.523,7,8.5
"F",0.55,0.415,0.135,0.8145,0.427,8,9.5
"F",0.55,0.43,0.15,0.84,0.395,8,9.5
"F",0.56,0.44,0.155,0.6405,0.336,8,9.5
"F",0.565,0.45,0.175,1.0095,0.447,9,10.5
"F",0.57,0.445,0.145,0.8775,0.412,8,9.5
"F",0.575,0.46,0.145,0.9945,0.466,7,8.5
"F",0.575,0.45,0.16,1.068,0.556,10,11.5
"F",0.575,0.47,0.165,0.869,0.435,9,10.5
"F",0.58,0.45,0.155,0.93,0.385,9,10.5
"F",0.6,0.475,0.16,1.0265,0.485,9,10.5
"F",0.6,0.465,0.15,1.1025,0.5455,8,9.5
"F",0.605,0.47,0.165,1.1775,0.611,9,10.5
"F",0.605,0.475,0.165,1.056,0.433,9,10.5
"F",0.615,0.465,0.15,0.923,0.4615,9,10.5
"F",0.615,0.475,0.155,1.027,0.447,9,10.5
"F",0.62,0.48,0.16,1.1125,0.5635,8,9.5
"F",0.625,0.485,0.175,1.3745,0.7335,9,10.5
"F",0.635,0.495,0.015,1.1565,0.5115,9,10.5
"F",0.645,0.48,0.17,1.1345,0.528,10,11.5
"F",0.65,0.5,0.19,1.464,0.6415,9,10.5
"F",0.655,0.51,0.175,1.415,0.5885,10,11.5
"F",0.66,0.53,0.185,1.346,0.546,11,12.5
"F",0.67,0.505,0.205,1.3645,0.6075,9,10.5
"F",0.685,0.54,0.215,1.7025,0.664,14,15.5
"F",0.69,0.54,0.155,1.454,0.624,9,10.5
"F",0.69,0.53,0.17,1.5535,0.7945,9,10.5
"F",0.7,0.525,0.19,1.6465,0.8545,9,10.5
"F",0.705,0.55,0.17,1.219,0.6395,9,10.5
"F",0.71,0.56,0.18,1.652,0.735,11,12.5
"F",0.72,0.58,0.195,2.103,1.0265,10,11.5
"F",0.72,0.55,0.2,1.9965,0.9035,10,11.5
"F",0.73,0.575,0.185,1.8795,0.931,12,13.5
"F",0.75,0.57,0.21,2.236,1.109,11,12.5
"F",0.755,0.625,0.21,2.505,1.1965,11,12.5
"F",0.78,0.63,0.215,2.657,1.488,11,12.5
"F",0.455,0.365,0.115,0.4305,0.184,8,9.5
"F",0.46,0.365,0.125,0.4785,0.206,8,9.5
"F",0.535,0.41,0.13,0.7145,0.335,9,10.5
"F",0.54,0.42,0.145,0.8655,0.4315,10,11.5
"F",0.545,0.445,0.15,0.8,0.3535,9,10.5
"F",0.55,0.405,0.125,0.651,0.2965,9,10.5
"F",0.56,0.445,0.155,1.224,0.5565,10,11.5
"F",0.565,0.45,0.145,0.8495,0.4215,8,9.5
"F",0.57,0.46,0.135,0.9795,0.397,9,10.5
"F",0.575,0.42,0.135,0.857,0.461,10,11.5
"F",0.575,0.48,0.165,1.078,0.511,9,10.5
"F",0.58,0.445,0.15,0.858,0.4,8,9.5
"F",0.595,0.465,0.15,0.98,0.4115,10,11.5
"F",0.595,0.465,0.155,1.026,0.4645,12,13.5
"F",0.6,0.465,0.155,1.04,0.4755,11,12.5
"F",0.6,0.455,0.145,0.8895,0.419,10,11.5
"F",0.605,0.475,0.175,1.076,0.463,9,10.5
"F",0.605,0.47,0.16,1.0835,0.5405,12,13.5
"F",0.615,0.475,0.155,1.004,0.4475,10,11.5
"F",0.615,0.475,0.165,1.023,0.4905,12,13.5
"F",0.615,0.475,0.155,1.115,0.484,10,11.5
"F",0.62,0.5,0.15,1.293,0.596,10,11.5
"F",0.62,0.475,0.16,1.1295,0.463,10,11.5
"F",0.625,0.505,0.175,1.15,0.5475,11,12.5
"F",0.625,0.515,0.16,1.264,0.5715,9,10.5
"F",0.625,0.48,0.155,1.2035,0.5865,12,13.5
"F",0.63,0.485,0.17,1.3205,0.5945,9,10.5
"F",0.635,0.5,0.165,1.4595,0.705,9,10.5
"F",0.635,0.495,0.175,1.211,0.707,9,10.5
"F",0.65,0.505,0.165,1.16,0.4785,11,12.5
"F",0.65,0.59,0.22,1.662,0.77,11,12.5
"F",0.65,0.51,0.17,1.567,0.7245,10,11.5
"F",0.655,0.525,0.19,1.3595,0.564,10,11.5
"F",0.655,0.52,0.19,1.4545,0.6,10,11.5
"F",0.66,0.495,0.21,1.548,0.724,10,11.5
"F",0.66,0.515,0.17,1.337,0.615,10,11.5
"F",0.665,0.53,0.18,1.491,0.6345,10,11.5
"F",0.67,0.53,0.225,1.5615,0.63,11,12.5
"F",0.67,0.505,0.175,1.0145,0.4375,10,11.5
"F",0.695,0.565,0.19,1.7635,0.7465,11,12.5
"F",0.7,0.545,0.13,1.556,0.6725,12,13.5
"F",0.705,0.57,0.18,1.5345,0.96,12,13.5
"F",0.71,0.55,0.17,1.614,0.743,11,12.5
